9
Framenumber:     0 Time [yr]:   0.000 Step:          1 Energy:  -0.198E+30
Saturn      7  0.212E+09 -0.149E+10  0.174E+08  0.903E+01  0.133E+01 -0.383E+00
Uranus      8  0.258E+10  0.148E+10 -0.279E+08 -0.345E+01  0.558E+01  0.651E-01
Neptune     9  0.432E+10 -0.117E+10 -0.757E+08  0.138E+01  0.528E+01 -0.141E+00
9
Framenumber:    25 Time [yr]:   0.792 Step:      25000 Energy:  -0.198E+30
Sun         1 -0.664E+04  0.108E+07 -0.113E+05 -0.131E-01  0.470E-02  0.326E-03
Mercury     2 -0.554E+08 -0.320E+08  0.236E+07  0.150E+02 -0.397E+02 -0.461E+01
Venus       3  0.107E+09 -0.127E+08 -0.639E+07  0.426E+01  0.347E+02  0.229E+00
Earth       4  0.149E+09  0.184E+08 -0.126E+05 -0.393E+01  0.295E+02 -0.103E-02
Mars        5  0.200E+09 -0.527E+08 -0.604E+07  0.721E+01  0.255E+02  0.357E+00
Jupiter     6 -0.411E+09 -0.690E+09  0.121E+08  0.111E+02 -0.607E+01 -0.222E+00
Saturn      7  0.221E+09 -0.149E+10  0.171E+08  0.902E+01  0.139E+01 -0.384E+00
Uranus      8  0.257E+10  0.149E+10 -0.278E+08 -0.346E+01  0.558E+01  0.653E-01
Neptune     9  0.433E+10 -0.116E+10 -0.758E+08  0.137E+01  0.528E+01 -0.141E+00
9
Framenumber:    26 Time [yr]:   0.824 Step:      26000 Energy:  -0.198E+30
Sun         1 -0.197E+05  0.108E+07 -0.109E+05 -0.131E-01  0.452E-02  0.328E-03
Mercury     2 -0.295E+08 -0.617E+08 -0.244E+07  0.343E+02 -0.183E+02 -0.464E+01
Venus       3  0.106E+09  0.220E+08 -0.584E+07 -0.699E+01  0.343E+02  0.873E+00
Earth       4  0.142E+09  0.473E+08 -0.136E+05 -0.971E+01  0.282E+02 -0.967E-03
Mars        5  0.205E+09 -0.269E+08 -0.564E+07  0.419E+01  0.261E+02  0.444E+00
Jupiter     6 -0.400E+09 -0.696E+09  0.118E+08  0.112E+02 -0.589E+01 -0.225E+00
Saturn      7  0.230E+09 -0.149E+10  0.167E+08  0.901E+01  0.145E+01 -0.384E+00
Uranus      8  0.257E+10  0.149E+10 -0.277E+08 -0.347E+01  0.557E+01  0.654E-01
Neptune     9  0.433E+10 -0.116E+10 -0.759E+08  0.137E+01  0.528E+01 -0.141E+00
9
Framenumber:    27 Time [yr]:   0.856 Step:      27000 Energy:  -0.198E+30
Sun         1 -0.329E+05  0.109E+07 -0.106E+05 -0.132E-01  0.434E-02  0.329E-03
